City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Ulaangom,MN,2020-06-22 01:14:03,49.98,92.07,46.17,72,100,11.65
116,Lianzhou,CN,2020-06-22 01:10:29,24.78,112.38,83.88,78,100,5.12
117,Sept-Iles,CA,2020-06-22 01:14:04,50.2,-66.38,54.0,93,90,10.29
118,Nikolskoye,RU,2020-06-22 01:14:04,59.7,30.79,59.0,67,0,4.47
119,Bahia Blanca,AR,2020-06-22 01:14:05,-38.72,-62.27,47.86,52,99,8.14
120,San Cristobal,VE,2020-06-22 01:14:05,7.77,-72.22,75.2,88,75,4.7
121,Bilibino,RU,2020-06-22 01:14:05,68.05,166.44,79.95,29,81,15.55
122,Dalvik,IS,2020-06-22 01:14:05,65.97,-18.53,55.4,71,75,11.41
123,Mezen,RU,2020-06-22 01:14:06,65.85,44.24,48.34,63,100,9.1
124,Trifesti,RO,2020-06-22 01:14:06,47.45,27.52,66.0,90,100,3.0
125,Paamiut,GL,2020-06-22 01:14:06,61.99,-49.67,41.7,83,100,16.91
126,Eureka,US,2020-06-22 01:14:06,40.8,-124.16,66.0,11,17,7.0
127,Nyurba,RU,2020-06-22 01:14:07,63.28,118.33,65.32,82,94,4.29
128,Khatanga,RU,2020-06-22 01:14:07,71.97,102.5,64.42,53,64,7.49
129,Tura,IN,2020-06-22 01:14:07,25.52,90.22,78.17,86,2,4.94
130,Port Hawkesbury,CA,2020-06-22 01:14:08,45.62,-61.35,51.01,100,90,9.17
131,Leh,IN,2020-06-22 01:14:08,34.17,77.58,51.31,43,0,6.58
132,Lewistown,US,2020-06-22 01:14:08,40.6,-77.57,75.99,88,1,2.68
133,Itoman,JP,2020-06-22 01:14:09,26.12,127.67,82.4,94,75,6.93
134,Nizwa,OM,2020-06-22 01:14:09,22.93,57.53,83.93,50,100,0.65
135,Bogomila,MK,2020-06-22 01:14:09,41.59,21.47,64.4,72,75,4.7
136,Vao,NC,2020-06-22 01:14:09,-22.67,167.48,69.51,64,0,10.83
