city_id,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),City Description,Country
220,Sitamau,24.02,75.35,82.85,66,73,14.05,0.0,0,broken clouds,IN
221,Port Shepstone,-30.74,30.45,64.96,74,0,10.67,0.0,0,clear sky,ZA
222,Havelock,34.88,-76.9,86.0,62,90,6.93,0.0,0,overcast clouds,US
223,Torbay,47.67,-52.73,79.0,69,20,26.4,0.0,0,few clouds,CA
224,Hithadhoo,-0.6,73.08,84.42,66,30,3.74,0.0,0,scattered clouds,MV
225,Suhut,38.53,30.55,70.7,38,0,6.33,0.0,0,clear sky,TR
226,Cabo San Lucas,22.89,-109.91,84.99,65,40,11.41,0.0,0,scattered clouds,MX
227,Tam Ky,15.57,108.48,80.6,94,40,2.24,0.0,0,scattered clouds,VN
228,Gitarama,-2.07,29.76,73.4,53,40,2.24,0.0,0,scattered clouds,RW
229,Flin Flon,54.77,-101.86,60.8,87,90,9.17,0.0,0,mist,CA
230,Ca Mau,9.18,105.15,78.13,89,89,3.27,0.0,0,overcast clouds,VN
231,Outjo,-20.12,16.15,59.79,31,0,8.25,0.0,0,clear sky,NA
232,Iqaluit,63.75,-68.51,64.4,45,75,18.34,0.0,0,broken clouds,CA
233,Adrar,20.5,-10.07,108.16,9,26,16.26,0.0,0,scattered clouds,MR
234,Beloha,-25.17,45.05,59.94,81,35,8.7,0.0,0,scattered clouds,MG
235,Meulaboh,4.14,96.13,77.72,85,98,3.6,0.0,0,overcast clouds,ID
236,Aquiles Serdan,17.78,-92.28,89.6,59,5,8.05,0.0,0,clear sky,MX
237,Kondinskoye,59.65,67.41,53.08,90,97,4.09,0.0,0,overcast clouds,RU
238,Vila Franca Do Campo,37.72,-25.43,68.0,68,75,8.05,0.0,0,broken clouds,PT
239,Dekar,-21.53,21.93,56.68,41,0,7.34,0.0,0,clear sky,BW
240,Japura,-0.32,102.35,74.37,91,91,3.02,0.0,0,overcast clouds,ID
241,Bacungan,9.91,118.7,80.46,76,58,2.89,0.0,0,broken clouds,PH
242,Tokonou,9.65,-9.78,78.21,89,94,2.48,2.17,0,moderate rain,GN
243,Mogadishu,2.04,45.34,78.44,79,24,17.94,0.0,0,few clouds,SO
244,Tessalit,20.2,1.01,104.68,7,11,11.07,0.0,0,few clouds,ML
245,Kuching,1.55,110.33,77.0,94,20,2.24,0.0,0,few clouds,MY
246,Mamallapuram,12.63,80.17,86.0,79,75,5.82,0.0,0,broken clouds,IN
247,Kutahya,39.42,29.98,75.2,60,0,6.93,0.0,0,clear sky,TR
248,Takaka,-40.85,172.8,37.0,74,0,1.99,0.0,0,clear sky,NZ
249,Bambanglipuro,-7.95,110.28,77.13,84,77,10.07,0.0,0,broken clouds,ID
250,Labuhan,-6.88,112.21,76.95,86,42,6.93,0.0,0,scattered clouds,ID
251,Broome,42.25,-75.83,77.0,78,40,6.93,0.25,0,light rain,US
252,Klaksvik,62.23,-6.59,44.6,81,96,11.41,0.0,0,overcast clouds,FO
253,Yagodnoye,62.55,149.67,45.25,68,26,1.59,0.0,0,scattered clouds,RU
254,Murindo,6.98,-76.75,91.04,55,32,2.93,0.0,0,scattered clouds,CO
255,Gorom-Gorom,14.44,-0.24,100.6,22,35,9.78,0.0,0,scattered clouds,BF
256,Port-Gentil,-0.72,8.78,75.2,83,75,10.29,0.0,0,broken clouds,GA
257,Shu,43.6,73.76,79.29,25,78,8.5,0.0,0,broken clouds,KZ
258,Asau,46.43,26.4,72.0,75,26,1.05,0.0,0,scattered clouds,RO
259,Calvinia,-31.47,19.78,57.78,34,28,5.5,0.0,0,scattered clouds,ZA
260,Lebu,-37.62,-73.65,52.84,87,69,8.05,0.45,0,light rain,CL
261,Araouane,18.9,-3.53,104.11,15,61,8.37,0.0,0,broken clouds,ML
262,Luderitz,-26.65,15.16,66.2,55,0,10.29,0.0,0,clear sky,NA
263,Novovarshavka,54.17,74.69,64.27,82,96,9.08,0.26,0,light rain,RU
264,Amuntai,-2.42,115.25,72.91,98,5,0.74,0.0,0,clear sky,ID
265,Qaanaaq,77.48,-69.36,40.24,76,65,2.82,0.0,0,broken clouds,GL
266,Salvador,13.83,-88.92,91.4,52,20,6.93,0.0,0,few clouds,SV
267,San Juan,-31.54,-68.54,55.6,38,3,11.23,0.0,0,clear sky,AR
268,Sheregesh,52.92,87.99,62.06,95,82,1.66,0.35,0,light rain,RU
269,Komsomolskiy,40.43,71.72,80.6,28,20,4.7,0.0,0,few clouds,UZ
270,Ulcinj,41.93,19.22,91.4,41,20,6.93,0.0,0,few clouds,ME
271,Severo-Kurilsk,50.68,156.12,46.09,93,100,5.26,0.88,0,light rain,RU
272,Hay River,60.82,-115.8,55.4,82,75,10.29,0.0,0,light rain,CA
273,Bathsheba,13.22,-59.52,87.8,70,75,17.22,0.0,0,broken clouds,BB
